Janela,Delta,Theta,Alpha,Beta,Gamma
30.0,0.0,89.2746612701533,86.83024918334905,100.0,4.3556227525227476
31.0,0.0,100.0,70.48681433306227,27.535857813409258,0.02484504169848878
32.0,0.0,100.00000000000001,82.96637485936698,40.30568476684624,0.06408604180216515
33.0,0.0,100.0,98.82283862180323,47.93513960342808,0.23929666664501115
34.0,0.0,44.869605513786006,99.99999999999999,69.40260667526682,1.1908458961493793
